episode_idx,return_sum,steps,conflicts,avg_manhattan_FM
0,31.740000000000045,500,0,5.228
1,38.840000000000046,500,0,5.106
2,33.87000000000005,500,0,4.406
3,29.65000000000004,500,0,4.298
4,39.690000000000026,440,0,4.490909090909091
5,34.99000000000004,500,0,4.644
6,33.360000000000035,500,0,3.764
7,31.400000000000034,500,0,6.734
8,42.400000000000034,401,0,4.483790523690773
9,41.450000000000045,500,0,5.122
10,38.270000000000024,345,0,4.0318840579710145
11,34.02000000000003,500,0,4.044
12,34.360000000000035,500,0,3.82
13,31.690000000000033,500,0,3.408
14,37.06000000000004,500,0,4.386
15,36.670000000000016,277,0,5.4296028880866425
16,34.09000000000003,500,0,3.826
17,1.800000000000003,37,0,4.081081081081081
